authors,year,title,journal,text
"Wallace, M., et al.",2010,Phase I/II Study Evaluating Early Tolerance in Breast Cancer Patients Undergoing Accelerated Partial Breast Irradiation Treated With the MammoSite Balloon Breast Brachytherapy Catheter Using a 2-Day Dose Schedule.,International Journal of Radiation Oncology Biology Physics,"Purpose: Initial Phase I/II results using balloon brachytherapy to deliver accelerated partial breast irradiation (APBI) in 2 days in patients with early-stage breast cancer are presented. Materials and Methods: Between March 2004 and August 2007, 45 patients received adjuvant radiation therapy after lumpectomy with balloon brachytherapy in a Phase I/II trial delivering 2800 cGy in four fractions of 700 cGy. Toxicities were evaluated using the National Cancer Institute Common Toxicity Criteria for Adverse Events v3.0 scale and cosmesis was documented at ≥6 months. Results: The median age was 66 years (range, 48-83) and median skin spacing was 12 mm (range, 8-24). The median follow-up was 11.4 months (5.4-48 months) with 21 patients (47%) followed ≥1 year, 11 (24%) ≥2 years, and 7 (16%) ≥3 years. At <6 months (n = 45), Grade II toxicity rates were 9% radiation dermatitis, 13% breast pain, 2% edema, and 2% hyperpigmentation. Grade III breast pain was reported in 13% (n = 6). At ≥6 months (n = 43), Grade II toxicity rates were: 2% radiation dermatitis, 2% induration, and 2% hypopigmentation. Grade III breast pain was reported in 2%. Infection was 13% (n = 6) at <6 months and 5% (n = 2) at ≥6 months. Persistent seroma ≥6 months was 30% (n = 13). Fat necrosis developed in 4 cases (2 symptomatic). Rib fractures were seen in 4% (n = 2). Cosmesis was good/excellent in 96% of cases. Conclusions: Treatment with balloon brachytherapy using a 2-day dose schedule resulted acceptable rates of Grade II/III chronic toxicity rates and similar cosmetic results observed with a standard 5-day accelerated partial breast irradiation schedule.  Inc. All rights reserved."
"Wallace, M., et al.",2011,"Comparison of five year clinical outcomes between interstitial, Balloon-based, and 3-D conformal partial breast irradiation techniques in astro suitable and cautionary risk category patients.",International Journal of Radiation Oncology Biology Physics,"Purpose/Objective(s): To compare clinical outcomes between interstitial, balloon-based, and 3-D conformal (3-D CRT) partial breast techniques in defined patient risk groups. Materials/Methods: Four hundred thirty-one patients with early-stage breast cancer and DCIS were treated atWilliam Beaumont Hospital between April, 1993 and January, 2011 and were categorized in the suitable or cautionary group patients per the ASTRO consensus guidelines. Patients were stratified by partial breast technique into interstitial, balloon-based, and 3-D CRT. Clinical, pathological, and treatment related characteristics including age, tumor size, receptor status, lymph node status, margins, and adjuvant hormonal treatment, or adjuvant chemotherapy were compared between groups. Clinical outcomes measured included local recurrence (LR), regional recurrence (RR), distant metastases, disease-free survival (DFS), cause-specific survival (CSS), and overall survival (OS). Results: Follow up was 10.2 years, 2.6 years, and 5.2 years for the interstitial, balloon, and 3-D CRT patients respectively. The three groups were comparable with balloon-based patients more frequently having close margins and more likely to have DCIS histology. Significant differences did exist in the frequency of adjuvant hormonal therapy and chemotherapy received. At 5 years, no difference in LR (1.2% v. 2.8% v. 1.1%,p = 0.73), RR (0% for all groups),DM (1.8% vs. 1.6% vs. 3.4%, p = 0.67), DFS (97% vs. 96% vs. 96%, p = 0.62), CSS (99% vs. 97% vs. 98%, p = 0.52), and OS (87% vs. 92% vs. 92%, p = 0.27) were seen between the interstitial, balloon-based, and 3-D CRT patients. Conclusions: With 5 year follow up, no difference in clinical outcomes were noted between interstitial, balloon-based, and 3-D CRT partial breast irradiation techniques in ASTRO suitable and cautionary risk category patients, with excellent local control in all groups. Despite 30% of patients having close margins in the balloon cohort, local control remained excellent as well. (Table Presented)."
"Wallace, M., et al.",2012,Clinical outcomes following accelerated partial breast irradiation stratified by estrogen receptor status.,International Journal of Radiation Oncology Biology Physics,"Purpose/Objective(s): Revised guidelines for the estrogen receptor (ER) status of breast cancer now classify a tumor as ER negative only if nuclear staining is <1% while a new category of ER weak positive has been introduced by some institutions for staining between 1-9%. Mixed data has been published between the relationship of estrogen receptor (ER) status and ipsilateral breast tumor recurrence (IBTR) in women undergoing accelerated partial breast irradiation (APBI). We present our five-year outcomes for ER negative patients stratified by degree of estrogen receptor expression (ERE). Materials/Methods: A total of 346 patients treated with APBI had results for degree of ERE. ER status was assessed based on the amount of positive staining of the tumor cells' nuclear membranes for the ER receptor by immunohistochemistry and stratified into three groups: ER True Negative (ERTN: <1%), ER Weak Positive (ERWP: 1-9%), and ER Positive (ERP: ≥10%). Patient demographics and tumor characteristics were evaluated by ER grouping. Outcomes analyzed include ipsilateral breast tumor recurrence (IBTR), regional recurrence (RR), distant metastases (DM), disease-free survival (DFS), cause-specific survival (CSS), and overall survival (OS). Results: Median age was 63 years (range: 41-93 years) while median tumor size was 11.2 mm (range: 1.0-35.0mm). Median follow-up for all patients was 5.7 years (range: 0.2-18.0 yrs). Statistically significant differences existed for tumors with low ER expression including a propensity to be higher grade (Grade 3: 77% vs. 67% vs. 11%, p < 0.001) and treated with chemotherapy (35% vs. 43% vs. 14%, p < 0.001; ERTN, ERWP, and ERP, respectively). ER weak positive tumors were more likely to be treated with endocrine therapy (32% vs. 15%) vs. ER true negative tumors (p < 0.001) but less likely than true ER positive tumors to receive anti-ER therapy (32% vs. 66%, p < 0.001). Clinical outcomes are presented in the Table by degree of ER expression. No differences in IBTR, DFS, CSS, or OS were noted with a significant difference in RR noted (0% vs. 3.6% vs. 0%, p = 0.008) and a trend for increased distant metastases (5.9% vs. 11.1% vs. 2.6%, p = 0.06) for tumors with lower degrees of ER expression. Conclusions: Decreased degree of ER expression is associated with higher tumor grade and increased distant metastases for early-stage breast cancer. Patients with weak ER expression did not have markedly different outcomes vs. the ER true negative cohort in our patient population."
"Wang, C., et al.",2014,Early stage breast cancer radiation treatment assessment using diffusion weighted mri and dynamic contrast enhanced mri.,International Journal of Radiation Oncology Biology Physics,"Purpose/Objective(s): To assess the response of early stage breast cancer patients to single-dose preoperative partial breast radiotherapy using functional parameters derived from dynamic contrast-enhanced MRI (DCE-MRI) and diffusion weighted MRI (DW-MRI). Materials/Methods: Thirty-two female patients with biopsy-proven early stage breast cancer were involved in this IRB-approved phase I doseescalation study. Each patient received one of three prescription doses (15 Gy, 18 Gy, and 21 Gy) in a single-fraction using IMRT. Fifteen of 32 patients had paired pre- and post-radiation MRI images acquired sagittally in the prone position on a 1.5T clinical scanner using a standard breast coil. The imaging protocol included T1- and T2-weighted imaging, DCE-MRI and DW-MRI. In the DCE-MRI, the contrast agent (CA) gadopentetate dimeglumine was intravenously injected with a 0.1 mmol/kg bodyweight dose at 2 ml/s flow rate. One pre-enhanced and six post-enhanced series were acquired using a T1-weighted 3D SPGR sequence with a temporal resolution of about 1 minute. Three parameters were analyzed using the two-compartment Tofts kinetic model: volume transfer constant (Ktrans), extravascular-extracellular space (EES) fraction ve, and the model-free initial Area Under CA concentration Curve (iAUC). DW-MRI scans were acquired using a spin-echo EPI sequence with diffusion weighting factors of β = 500 mm2/s and β = 0 mm2/s, and the apparent diffusion coefficient (ADC) maps were derived. The average values of the four parameters within CTV and PTV were recorded before and after treatment, and statistical tests were performed to assess the relative changes and determine the significance of differences in parameter changes with different prescription doses. A correlation test was also used to examine the potential linear relationship between the parameter relative changes and the prescription dose. Results: After radiation therapy, iAUC significantly increased in PTV (p < 0.01) and CTV (p < 0.01), and ve significantly increased in PTV (p < 0.05) and CTV (p < 0.05). The relative changes of ADC in CTV (p < 0.01) and PTV (p < 0.01) were also found to be statistically significant. For those patients receiving 21 Gy, the relative changes in CTV and PTV for all parameters exceeded those of patients receiving either 15 Gy or 18 Gy. Correlation tests proved that linear dependence on radiation dose existed in all four PTV parameters' relative changes (Pearson correlation coefficient jrj > 0.8), and in CTV, this linear relationship was also observed in 3 out of 4 relative changes except Ktrans . Conclusions: The initial results of this study suggest a role for the MRI parameters iAUC, ve, and ADC as biomarkers for breast cancer radiation treatment response. Correlation with clinical outcomes in future clinical trials is necessary."
"Wang, C., et al.",2015,Treatment assessment using dynamic fractal signature dissimilarity as a novel biomarker for early-stage breast cancer radiation therapy: A feasibility study.,International Journal of Radiation Oncology Biology Physics,"Purpose/Objective(s): To investigate the feasibility of using a novel dynamic fractal signature dissimilarity (FSD) analysis to assess early-stage breast cancer single-dose radiation therapy response with paired pre and posttreatment dynamic contrast-enhanced MRI (DCE-MRI). Materials/Methods: A novel texture analysis method of dynamic FSD based on MR image intensity is proposed to quantitatively evaluate the heterogeneity of contrast agent (CA) uptake during a DCE-MRI examination. To demonstrate its feasibility, a retrospective study was conducted with 15 female patients who had biopsy proven early-stage breast cancer and received a single-fraction radiation treatment preoperatively. Each patient had paired pretreatment and post-treatment DCE-MRI scans. During each scan, one pre-enhanced volume (V0) and six post-enhanced volumes (V1-6) were acquired at a temporal resolution of approximately 1 minute. To generate a dynamic FSD curve, the 3D CTV was selected as the region of interest. At a certain time point, i, after the CA injection, the FSD value was calculated by comparing the MR image intensity of CTVi with the corresponding one acquired at the preceding time point CTVi-1 using the 3D blanket method. For both pre and post-treatment scans, two heuristic features of the dynamic FSD curve, initial enhancement (IE) and area under curve (AUC), were recorded and evaluated. The relative changes (post-treatment value/pretreatment value) of IE and AUC were compared with the relative change of the mean permeability rate constant (Ktrans) derived from the standard pharmacokinetic (PK) Tofts model. The calculation times of the dynamic FSD analysis and the PK analysis were recorded for efficiency evaluation. Correlation tests were conducted to examine the potential relationship between the relative change of heuristic features and the relative change of CTV Ktrans. Results: All dynamic FSD curves demonstrated similar features with a rapid wash-in peak and a wash-out phase with varying tail length. After the radiation treatment, the changes of dynamic FSD curve's amplitude and shape were noticeable. The relative changes of dynamic FSD curve's AUC (Pearson correlation coefficient r > 0.85, P <.01) and IE (r > 0.92, P < .01) were linearly correlated with the relative change of CTV's mean Ktransvalue. Compared with voxel-by-voxel PK analysis, the dynamic FSD analysis had a higher computation efficiency by a factor of 20 without the need of T1 calibration and PK model fitting. Conclusion: The initial results of this study suggest that the proposed dynamic FSD analysis might serve as a convenient and reliable alternative to the computationally intensive PK model fitting process to assess treatment response of radiation therapy."
"Wang, C., et al.",2016,Early-stage breast radiation therapy assessment using transcytolemmal water exchange analysis of dce-magnetic resonance imaging: Initial results.,International Journal of Radiation Oncology,"Purpose/Objective(s): To investigate the use of transcytolemmal water exchange analysis in the treatment assessment of early stage breast cancer single-dose preoperative radiotherapy with paired dynamic contrastenhanced MRI (DCE-MRI). Materials/Methods: 15 female patients with biopsy-proven early stage breast cancer received one of three prescription doses (15Gy, 18Gy, or 21Gy) in a single-fraction using IMRT. Each patient had paired pre- and post-treatment DCE-MRI scans acquired sagittally in the prone position. Gd-DTPA2 contrast agent (CA) was administered at a dose of 0.1mmol/kg bodyweight and 2ml/s flow rate after the calibration scans. One preenhanced volume and six post-enhanced volumes were acquired, and the temporal resolution was approximately 1 minute. For quantitative pharmacokinetic analysis, the intracellular and the extracellular-extravascular water molecules were modelled separately with different longitudinal relaxation rates due to the potentially inhomogeneous CA distribution in extracellular-extravascular space (EES). The mean residence time of intracellular water molecules si, which is the inverse of the transcytolemmal water exchange rate describing the limited water molecule movement from intracellular space to EES, was modeled as a novel physiological biomarker. The Bloch equations were corrected with the presence of si, and the calculation of microvessel permeability rate Ktrans in the classic Tofts model was modified as a nonlinear least-squares problem of integral equation. For each scan, both Ktrans and si were calculated voxel-by-voxel in CTV, and the CTV mean values were reported as primary biomarkers. A biological subvolume (BSV) was identified based on si distribution in CTV using a histogram-based automatic thresholding method. The volume ratio of BSV to CTV was calculated, and Ktrans and si mean values in BSV were also recorded. Signed-rank tests were performed to assess the differences of the recorded parameters before and after radiotherapy. Rank-sum tests were conducted to find parameters that may reflect response difference between different dose groups. Results: After radiotherapy, both CTV mean Ktrans (p < .007) and si (p < .002) significantly decreased. The volume ratio of BSV to CTV showed a decrease after radiotherapy (p < .003), and the decrease of BSV mean Ktrans were also found to be statistically significant (p < .001). For the patients in the 21Gy dose group, the relative BSV Ktrans values (post-RT value/pre-RT value) were significantly smaller (p < .045) than the values of the patients who received less than 21 Gy treatment dose. Conclusion: The initial results suggest that physiological biomarkers from transcytolemmal water exchange analysis significantly changed after radiotherapy. Changes in these biomarkers within the identified biological subvolume may have a role in predicting the clinical impact of radiation dose."
"Wang, E. H., et al.",2014,Adoption of hypofractionated whole-breast irradiation for early-stage breast cancer: A national cancer data base analysis.,International Journal of Radiation Oncology Biology Physics,"Purpose To evaluate the relationship of patient, hospital, and cancer characteristics with the adoption of hypofractionation in a national sample of patients diagnosed with early-stage breast cancer. Methods and Materials We performed a retrospective study of breast cancer patients in the National Cancer Data Base from 2004-2011 who were treated with radiation therapy and met eligibility criteria for hypofractionation. We used logistic regression to identify factors associated with receipt of hypofractionation (vs conventional fractionation). Results We identified 13,271 women (11.7%) and 99,996 women (88.3%) with early-stage breast cancer who were treated with hypofractionation and conventional fractionation, respectively. The use of hypofractionation increased significantly, with 5.4% of patients receiving it in 2004 compared with 22.8% in 2011 (P<.001 for trend). Patients living ≥50 miles from the cancer reporting facility had increased odds of receiving hypofractionation (odds ratio 1.57 [95% confidence interval 1.44-1.72], P<.001). Adoption of hypofractionation was associated with treatment at an academic center (P<.001) and living in an area with high median income (P<.001). Hypofractionation was less likely to be used in patients with high-risk disease, such as increased tumor size (P<.001) or poorly differentiated histologic grade (P<.001). Conclusions The use of hypofractionation is rising and is associated with increased travel distance and treatment at an academic center. Further adoption of hypofractionation may be tempered by both clinical and nonclinical concerns."
"Wang, E. H., et al.",2015,Adoption of Intensity modulated radiation therapy for early-stage breast cancer from 2004 through 2011.,International Journal of Radiation Oncology Biology Physics,"Purpose: Intensity modulated radiation therapy (IMRT) is a newer method of radiation therapy (RT) that has been increasingly adopted as an adjuvant treatment after breast-conserving surgery (BCS). IMRT may result in improved cosmesis compared to standard RT, although at greater expense. To investigate the adoption of IMRT, we examined trends and factors associated with IMRT in women under the age of 65 with early stage breast cancer. Methods and Materials: We performed a retrospective study of early stage breast cancer patients treated with BCS followed by whole-breast irradiation (WBI) who were <65 years old in the National Cancer Data Base from 2004 to 2011. We used logistic regression to identify factors associated with receipt of IMRT (vs standard RT). Results: We identified 11,089 women with early breast cancer (9.6%) who were treated with IMRT and 104,448 (90.4%) who were treated with standard RT, after BCS. The proportion of WBI patients receiving IMRT increased yearly from 2004 to 2009, with 5.3% of WBI patients receiving IMRT in 2004 and 11.6% receiving IMRT in 2009. Further use of IMRT declined afterward, with the proportion remaining steady at 11.0% and 10.7% in 2010 and 2011, respectively. Patients treated in nonacademic community centers were more likely to receive IMRT (odds ratio [OR], 1.36; 95% confidence interval [CI], 1.30-1.43 for nonacademic vs academic center). Compared to privately insured patients, the uninsured patients (OR, 0.81; 95% CI, 0.70-0.95) and those with Medicaid insurance (OR, 0.87; 95% CI, 0.79-0.95) were less likely to receive IMRT. Conclusions: The use of IMRT rose from 2004 to 2009 and then stabilized. Important nonclinical factors associated with IMRT use included facility type and insurance status."
"Wang, J. and J. Ma",2015,The use of 3-D ultrasound imaging system in hypofractionated radiation therapy for early-stage breast cancer after breast conservation therapy.,International Journal of Radiation Oncology Biology Physics,"Purpose/Objective(s): We evaluated if a commercially available 3D ultrasound (3D US) simulation system could contribute to CT in contouring the seroma target and improving interobserver consistency for early-stage breast cancer (EBC) patients that underwent breast conservation therapy (BCT). We assessed if 3D US imaging guidance system could replace cone-beam CT (CBCT) guidance system considering the improvement of the accuracy of irradiation and reduction of medical radiation exposure. Materials/Methods: A total of 10 EBC patients with T1-2N0M0 underwent BCT were analyzed from June 2013 to March 2014. The patients underwent hypofractionated breast radiation therapy without regional lymph node irradiation following lumpectomy. Patients were treated to the whole breast with doses of 41.6 to 43.2 Gy in fraction sizes of 2.6 to 2.7 Gy. The tumor bed was simultaneously boosted with doses of 51.2 Gy in fraction sizes of 3.2 Gy. CT simulation was performed in each subject, meanwhile, the 3D US was conducted using a clarity simulation system. Three breast radiation oncologists independently contoured the seroma target defined as the reference volume (RV) on separate CT and 3D US image sets. Interobserver contouring consistency was evaluated using Conformity Index (CI). Before daily therapy the CBCT image was obtained by a commercially available image system and 3D-US image was obtained by a clarity guidance system. The seroma cavity defined as guidance volume (GV) on 3D-US was contoured on the US-Guide. Calculation of a couch shift required for aligning the GV to the RV. We obtained the shift data after the co-registration of CBCT and planning CT was conducted. Statistical significances of the two sets of data were determined by paired t-test. Results: Three-D US could be a useful adjunct to CT in contouring the postoperative seroma target. The interobserver contouring consistency could be improved by the combination of 3D-US and CT, especially when the seroma clarity was indistinct in CT image. According to 96 groups of registration data the systemic ± random error on x, y, z directions in the clarity guidance system were (2.2 ± 0.3) mm, (4.7 ± 0.2) mm, (4.1 ± 0.5) mm, respectively. In the commercially available image system the results were (2.3 ± 0.2) mm, (4.1 ± 0.3) mm, (3.1 ± 0.5) mm, respectively. The errors of two groups were similar (P > 0.05) on x direction. The difference was statistically significant (P < 0.05) on y and z direction. The 3D-US results were greater than CBCT results in y and z direction. Conclusion: The 3D US can be a powerful complement to CT in contouring the seroma target and it can improve interobserver consistency in radiation after BCT. The number of patients in this study makes it difficult to make undisputed conclusions and it indicates the need for a large multicenter trial to validate the effectiveness of 3D US guidance system in breast cancer patients undergo hypofractionated simultaneous integrated boost radiation therapy."
"Wang, L., et al.",2015,Long-term toxicity and outcomes of hypofractionated radiation therapy with an incorporated boost for early-stage breast cancer.,International Journal of Radiation Oncology Biology Physics,"Purpose/Objective(s): To report the 8-year results of hypofractionated radiation therapy (HRT) with an incorporated boost and to compare toxicities and outcomes to propensity matched conventional fractionation (CRT) with sequential boost for early-stage breast cancer. Materials/Methods: The HRT cohort included 75 patients (pts) treated on a prospective Phase II study and 172 pts treated off trial in a similar manner. Inclusions were breast conservation, pts >18 years, Tis-T2, stage 0-II, and whole-breast IMRT with incorporated boost. The whole-breast received 2.25 Gy per fraction (fx) to 45 Gy with an incorporated tumor bed boost to 2.8 Gy per fx for a total of 56 Gy in 20 fx over 4 weeks. Women treated with CRT (whole-breast IMRT to 50 Gy in 2 Gy fx plus a sequential 10-16 Gy boost) were matched to HRT pts in a 2:1 ratio without replacement using a propensity score algorithm for age, T stage, systemic therapy use, bra cup size, type of boost (photon vs electron), grade, lymphovascular invasion, and ER/PR status. Adverse events during RT were considered acute, while events >1.5months after RT were considered late. All side effects were graded based on CTCAE v3. Patient reported cosmesis was scored using the Harvard scale (1 = excellent, 2 = good, 3 = fair, 4 = poor). Kaplan-Meier curves and Cox proportional hazard models with robust standard errors were used to estimate local control (LC). Proportions were evaluated using Mantel-Haenszel tests to account for the effect of matching. Results: Median follow-up was 52 months (range, 3.5-130). Median age was 56 years (range, 31-88). The HRT patients included 19% Tis, 65% T1, and 16% T2 tumors; 86% were node negative. Eighty percent had negative margins, 18% had close (>0 and <2 mm) margins, and 2% had positive margins. The majority of pts received systemic therapy (45% endocrine therapy, 10% chemotherapy, and 22% both). We matched 241 of the 247 HRT pts to 482 CRT pts with no significant differences between groups except more unknown grade in CRT group. Eight-year LC was 97.5% for HRT versus 96.6% in the CRT group (P = .78). There was no significant difference in any grade acute skin erythema in HRT versus CRT (91.3% vs 90.9%, P = .89). Grade 2+ acute side effects were more frequent in CRT versus HRT (47.1% vs 18.7%, P < 0.01). There was no difference in any grade late side effects experienced in the CRT versus HRT group (47.7% vs 41.5%, P = .12); 79% of late side effects in both groups were grade 1. The most common late side effects were edema, hyperpigmentation, erythema, and fibrosis. Mean pt reported cosmesis scores were similar at 3 years for HRT versus CRT (1.9 vs 1.9). Conclusion: The 4-week course of hypofractionated whole-breast radiation with incorporated boost was associated with excellent long-term LC, less acute side effects, similar cosmesis, and late side effects compared to conventional fractionation with sequential boost."
"Wang, M., et al.",2019,Adjuvant Breast Radiotherapy Alone (Without Endocrine Therapy) in Women 70 Years or Older with Early-Stage Breast Cancer Post-Breast Conservation Surgery: A Population-Based Long-Term Follow-Up Study.,International Journal of Radiation Oncology Biology Physics,"Purpose/Objective(s): Adjuvant breast radiotherapy (RT) following breast conserving surgery (BCS) is the standard of care for women with early stage breast cancer (BC). NCCN guidelines V. 3.2018 recommends omitting RT after BCS in stage I, estrogen-receptor positive (ER+ve) BC patients ≥ 70 years of age who receive adjuvant endocrine therapy (ET). Since RT alone is a treatment option for this group of patients in our health region, we conducted a population-based study to determine the outcomes of women treated with RT alone. Materials/Methods: Data was collected from women aged ≥ 70 with ER+ve, early stage BC treated with BCS followed by adjuvant treatment from 2005 to 2015. Survival endpoints for progression free survival (PFS), overall survival (OS), and cause specific survival (CSS) were calculated. Results: A total of 1618 patients were identified. Median follow-up was 75 months. Adjuvant treatments received were: No adjuvant therapy (NAT): 194 (12.0%), RT alone: 587 (36.5%), ET alone: 190 (11.5%), and RT+ET: 647 (40.0%). 10 year PFS rates were: NAT: 83.9%, RT alone: 94.0%, ET alone: 98.2%, and RT+ET: 92.2% (p=0.0001). On multivariate analysis, BCS+RT, BCS+ET and BCS+ET+RT led to significant reduction in recurrences compared to BCS alone with estimated risks of 0.26, 0.06, and 0.14 respectively. 10 year OS rates were 29.2%, 69.1%, 30.1% and 66.3% and 10 year CSS rates were 75.8%, 93.1%, 87.1% and 91.5% for NAT, RT alone, ET alone, and RT+ET respectively. In multivariate analysis, breast cancer death risk was 0.27 (RT alone), 0.51 (ET alone) and 0.19 (RT + ET), compared to NAT after BCS. Conclusion: Our study shows that elderly women with stage I, ER+ve BC had high risk of local recurrence (LR) after BCS if managed with NAT. The risk of LR and the risk of breast cancer deaths were reduced to a similar extent by either RT alone or ET alone. Therefore, RT alone may be an appropriate treatment option for this group of BC patients."
"Wang, S., et al.",2014,Comparison of acute radiation injury of the skin and cosmetic outcome between sib-IMRT and late-course boost-IMRT for early breast cancer after breast-conserving surgery.,International Journal of Radiation Oncology Biology Physics,"Purpose/Objective(s): To explore the difference on acute radiation injury of the skin and cosmetic outcome after breast conserving therapy for early breast cancer between the simultaneous integrated boost intensity modulated radiation therapy (SIB-IMRT) and late-course boost intensity modulated radiation therapy (late-course boost-IMRT). Materials/Methods: For this study, 353 female breast cancer patients (stages I-II), treated with breast-conserving surgery at the institute between November 2002 and February 2012, were retrospectively identified. Median age at diagnosis was 43 (range 20-67) years. Two hundred eighteen patients were treated with SIB-IMRT after breast conserving therapy and 135 patients were treated with late-course boost-IMRT. The tumor bed was delineated and expanded with a margin of 10-15 mm to generate boost planning target volume (PTVt). The whole breast was expanded with a margin of 5 mm to generate the breast PTVb. For the SIB-IMRT group, fractionation schemes used were 27-28 daily fractions of 1.8-1.9 Gray (Gy) to the PTVb and 2.15-2.3 Gy to the boost PTVt. For the late-course boost- IMRT group, fractionation schemes used were 25 daily fractions of 2.0 Gy to the whole breast PTVb, then 5-8 daily fractions of 2.0 Gy to the boost PTVt only. We estimated difference of the two groups on acute radiation injury of the skin and cosmetic outcome according to RTOG and Harris' cosmetic criterion based on the Log-Rank and χ2 test. Results: Median follow-up was 62 (range 1-144) months. The two groups had comparability on age, stages, histopathology, hormone receptor status, postoperative chemotherapy (all P value > 0.05). For all patients, OS was 98.71%, 96.68%, 94.51% at 3, 5, 10-years, respectively. DFS was 95.34%, 90.55%, 88.15% and LCR was 96.86%, 95.43%, 94.60% at 3, 5, 10-years for the whole group, respectively. The 3, 5, 10-year LRR were 3.13%, 4.57%, 5.4% and the DMR was 0.60%, 2.54%, 2.94% for the patients, respectively. There was no significant differences between the SIB-IMRT and late-course boost-IMRT group (X2 = 0.01, P = 0.91). For the acute radiation injury of the skin, there were 155, 56, 7 cases and 86, 43, 5 cases at 1, 2, 3 degree for the SIB-IMRT and late-course boost-IMRT group, respectively. There was no significant differences between the SIB-IMRT and late-course boost-IMRT group (X2 = 1.85, P = 0.40). Meanwhile, in cosmetic outcome, there were 187, 22, 8, 1 cases and 109, 17, 7, 1 cases at great, good, general, bad for the SIB-IMRT and late-course boost-IMRT groups, respectively. There was no significant differences between the SIBIMRT and late-course boost-IMRT group (X2 = 1.29, P = 0.30). Conclusions: In conclusion, SIB-IMRT had the same survival comparing with late-course boost-IMRT. Meanwhile, the acute radiation injury of the skin and cosmetic outcome was the same as late-course boost-IMRT. Therefore, it was worth to popularize in clinical."
"Wang, S., et al.",2014,Comparison of clinical treatment effect between sib-IMRT and late-course boost-IMRT for early breast cancer after breast-conserving surgery.,International Journal of Radiation Oncology Biology Physics,"Purpose/Objective(s): To explore the difference on clinical observation of after breast conserving therapy for early breast cancer between the simultaneous integrated boost intensity modulated radiation therapy (SIBIMRT) and late-course boost intensity modulated radiation therapy (latecourse boost-IMRT). Materials/Methods: For this study, 353 female breast cancer patients (stages I-II), treated with breast-conserving surgery at our institute between November 2002 and February 2012, were retrospectively identified. Median age at diagnosis was 43 (range 20-67) years. Two hundred eighteen patients were treated with SIB-IMRT after breast conserving therapy and 135 patients were treated with late-course boost-IMRT. For the SIB-IMRT group, fractionation schemes used were 27-28 daily fractions of 1.8-1.9 Gray (Gy) to the whole breast PTVand 2.15-2.3 Gy to the boost PTVt. For the late-course boost-IMRT group, fractionation schemes used were 25 daily fractions of 2.0 Gy to the whole breast PTVb, then 5-8 daily fractions of 2.0 Gy to the boost PTVt only. Next to outcome, we estimated difference of the two group on the overall survival (OS), disease free survival (DFS), local control rate (LCR), locoregional recurrence rate (LRR) and distant metastasis rate (DMR) at 3, 5, 8 and 10-year by the Kaplan-Meier and χ2 test. Results: Median follow-up was 62 (range 1-144) months. The two groups had comparability on age, TNM stages, histopathology, hormone receptor status, and postoperative chemotherapy (all P value > 0.05). For the SIBIMRT group, OS was 98.17%, 96.33%, 95.41% and 94.95% at 3, 5, 8, and 10-years, respectively. In addition, OS was 99.26%, 97.04%, 94.07% and 94.07% for the late-course boost-IMRT group. There were no significant differences between the groups on OS (all P value > 0.05). DFS was 95.87%, 92.20%, 90.83%, 90.37% and 94.81%, 88.89%, 85.93%, 85.93% at 3, 5, 8 and 10-years for the SIB-IMRT and late-course boost-IMRT groups, respectively. The differences were not significant for the two groups on DFS. For the LCR, it was 98.17%, 96.79%, 95.87%, 95.87% and 95.56%, 94.07%, 93.33%, 93.33% at 3, 5, 8 and 10-years for the SIBIMRT and late-course boost-IMRT group, respectively. Meanwhile, there was no significant difference between the groups on LCR (all P value > 0.05). The 3, 5, 8 and 10-year LRR were 1.83%, 3.21%, 4.13%, 4.13% and 4.44%, 5.93%, 6.67%, 6.67% for the SIB-IMRT and late-course boost- IMRT group and there was also no significant differences between the groups (all P value > 0.05). There were no different for DMR of the two groups (all P value > 0.05). Conclusions: In conclusion, SIB-IMRT as part of breast cancer treatment had the same treatment effect in excellent OS, DFS, and LRC rates comparing with late-course boost-IMRT. Meanwhile, the LCR and DMR was the same as late-course boost-IMRT. Therefore, SIB-IMRT was worth to popularize in clinical treatment."
"Wang, S. Y., et al.",2017,Information Needs of Older Women With Early-Stage Breast Cancer When Making Radiation Therapy Decisions.,International Journal of Radiation Oncology Biology Physics,"Purpose To identify the information older women with early-stage breast cancer need when making radiation therapy decisions, and who patients identify as the main decision maker. Methods and Materials We surveyed (through face-to-face interview, telephone, or mail) women aged ≥65 years who received lumpectomy and were considering or receiving adjuvant radiation therapy for early-stage breast cancer. The survey instrument was constructed with input from patient and professional advisory committees, including breast cancer survivors, advocates of breast cancer care and aging, clinicians, and researchers. Participants rated the importance (on a 4-point scale) of 24 statements describing the benefits, side effects, impact on daily life, and other issues of radiation therapy in relation to radiation therapy decision making. Participants also designated who was considered the key decision maker. Results The response rate was 56.4% (93 of 165). Mean age was 72.5 years, ranging from 65 to 93 years. More than 96% of participants indicated they were the main decision maker on receiving radiation therapy. There was wide variation in information needs regarding radiation therapy decision making. Participants rated a mean of 18 (range, 3-24) items as “essential.” Participants rated items related to benefits highest, followed by side effects. Participants who were older than 75 years rated 13.9 questions as essential, whereas participants aged ≤74 years rated 18.7 as essential (P=.018). Conclusions Older women desire information and have more agency and input in the decision-making process than prior literature would suggest. The variation in information needs indicates that future decision support tools should provide options to select what information would be of interest to the participants."
